time,open,high,low,close,volume
1576937700000,126.90,127.22,126.90,127.13,1653.739
1576938600000,127.13,127.41,127.13,127.23,2073.296
1576939500000,127.21,127.26,127,127,1099.334
1576940400000,126.99,127.30,126.99,127.30,2057.575
1576941300000,127.30,127.60,127.21,127.30,2892.684
1576942200000,127.30,127.70,127.21,127.29,3911.855
1576943100000,127.29,127.45,127.13,127.29,2575.963
1576944000000,127.30,127.50,127.07,127.22,2284.561
1576944900000,127.22,127.26,127.13,127.16,987.455
1576945800000,127.14,127.18,126.97,127.15,1966.513
1576946700000,127.16,127.49,127.13,127.23,5337.084
1576947600000,127.23,127.34,127.18,127.33,1223.749
1576948500000,127.32,127.33,127.24,127.27,1059.409
1576949400000,127.26,127.26,127.05,127.05,1229.460
1576950300000,127.06,127.23,127.05,127.17,996.939
1576951200000,127.17,127.24,127.05,127.12,1311.607
1576952100000,127.13,127.17,127.01,127.05,1030.003
1576953000000,127.05,127.08,126.92,127.08,1608.553
1576953900000,127.07,127.09,126.94,126.96,904.663
1576954800000,126.94,127.04,126.87,126.96,1110.856
1576955700000,126.96,126.98,126.86,126.86,824.942
1576956600000,126.88,126.90,126.78,126.83,812.945
1576957500000,126.83,127.07,126.80,127,1550.441
1576958400000,127,127.10,126.92,127.06,1819.156
1576959300000,127.06,127.10,126.97,126.99,936.079
1576960200000,127,127.06,126.89,127.06,1127.166
1576961100000,127.06,127.10,126.99,127.10,972.724
1576962000000,127.10,127.20,126.92,127.14,1856.533
1576962900000,127.15,127.56,127.08,127.47,4601.623
1576963800000,127.44,127.48,126.70,126.79,7838.862
1576964700000,126.78,127.01,126.77,126.91,1555.422
1576965600000,126.89,127.30,126.80,127.21,1611.356
1576966500000,127.23,127.24,127.06,127.07,1412.468
1576967400000,127.07,127.24,127.03,127.20,948.682
1576968300000,127.24,127.24,127.13,127.19,865.021
1576969200000,127.19,127.28,127.17,127.17,990.031
1576970100000,127.18,127.18,126.80,127.04,1414.303
